dair	dair(POSTP.invar)
evvelsem	evvel(POSTP),predic.cond.1p.sg
evvelsen	evvel(POSTP),predic.cond.2p.sg
evvelseniz	evvel(POSTP),predic.cond.2p.pl
evvelsin	evvel(POSTP),predic.pres.2p.sg
evvelsiniz	evvel(POSTP),predic.pres.2p.pl
için	içinPOSTP
içindi	için(POSTP),predic.perf.3p.sg
içindik	için(POSTP),predic.perf.1p.pl
içindiler	için(POSTP),predic.perf.3p.pl
içindim	için(POSTP),predic.perf.1p.sg
içindin	için(POSTP),predic.perf.2p.sg
içindiniz	için(POSTP),predic.perf.2p.pl
içindir	için(POSTP),predic.pres.3p.sg
içindirler	için(POSTP),predic.pres.3p.pl
içinim	için(POSTP),predic.pres.1p.sg
içiniz	için(POSTP),predic.pres.1p.pl
içinlerdi	için(POSTP),predic.perf.3p.pl
içinlerdir	için(POSTP),predic.pres.3p.pl
içinlermiş	için(POSTP),predic.evid.3p.pl
içinlerse	için(POSTP),predic.cond.3p.pl
içinmiş	için(POSTP),predic.evid.3p.sg
içinmişim	için(POSTP),predic.evid.1p.sg
içinmişiz	için(POSTP),predic.evid.1p.pl
içinmişler	için(POSTP),predic.evid.3p.pl
içinmişsin	için(POSTP),predic.evid.2p.sg
içinmişsiniz	için(POSTP),predic.evid.2p.pl
içinse	için(POSTP),predic.cond.3p.sg
içinsek	için(POSTP),predic.cond.1p.pl
içinseler	için(POSTP),predic.cond.3p.pl
içinsem	için(POSTP),predic.cond.1p.sg
içinsen	için(POSTP),predic.cond.2p.sg
içinseniz	için(POSTP),predic.cond.2p.pl
içinsin	için(POSTP),predic.pres.2p.sg
içinsiniz	için(POSTP),predic.pres.2p.pl
önce	öncePOSTP
önceki	önce(POSTP),<ki>
önceyken	önce(POSTP),converb
öncedir	önce(POSTP),predic.pres.3p.sg
öncedirler	önce(POSTP),predic.pres.3p.pl
öncelerdi	önce(POSTP),predic.perf.3p.pl
öncelerdir	önce(POSTP),predic.pres.3p.pl
öncelermiş	önce(POSTP),predic.evid.3p.pl
öncelerse	önce(POSTP),predic.cond.3p.pl
öncesin	önce(POSTP),predic.pres.2p.sg
öncesiniz	önce(POSTP),predic.pres.2p.pl
önceydi	önce(POSTP),predic.perf.3p.sg
önceydik	önce(POSTP),predic.perf.1p.pl
önceydiler	önce(POSTP),predic.perf.3p.pl
önceydim	önce(POSTP),predic.perf.1p.sg
önceydin	önce(POSTP),predic.perf.2p.sg
önceydiniz	önce(POSTP),predic.perf.2p.pl
önceyim	önce(POSTP),predic.pres.1p.sg
önceyiz	önce(POSTP),predic.pres.1p.pl
önceymiş	önce(POSTP),predic.evid.3p.sg
önceymişim	önce(POSTP),predic.evid.1p.sg
önceymişiz	önce(POSTP),predic.evid.1p.pl
önceymişler	önce(POSTP),predic.evid.3p.pl
önceymişsin	önce(POSTP),predic.evid.2p.sg
önceymişsiniz	önce(POSTP),predic.evid.2p.pl
önceyken	önce(POSTP),case.nom,converb
önceyse	önce(POSTP),predic.cond.3p.sg
önceysek	önce(POSTP),predic.cond.1p.pl
önceyseler	önce(POSTP),predic.cond.3p.pl
önceysem	önce(POSTP),predic.cond.1p.sg
önceysen	önce(POSTP),predic.cond.2p.sg
önceyseniz	önce(POSTP),predic.cond.2p.pl
rağmen	rağmenPOSTP
rağmenken	rağmen(POSTP),converb
rağmendi	rağmen(POSTP),predic.perf.3p.sg
rağmendik	rağmen(POSTP),predic.perf.1p.pl
rağmendiler	rağmen(POSTP),predic.perf.3p.pl
rağmendim	rağmen(POSTP),predic.perf.1p.sg
rağmendin	rağmen(POSTP),predic.perf.2p.sg
rağmendiniz	rağmen(POSTP),predic.perf.2p.pl
rağmendir	rağmen(POSTP),predic.pres.3p.sg
rağmendirler	rağmen(POSTP),predic.pres.3p.pl
rağmenim	rağmen(POSTP),predic.pres.1p.sg
rağmeniz	rağmen(POSTP),predic.pres.1p.pl
rağmenlerdi	rağmen(POSTP),predic.perf.3p.pl
rağmenlerdir	rağmen(POSTP),predic.pres.3p.pl
rağmenlermiş	rağmen(POSTP),predic.evid.3p.pl
rağmenlerse	rağmen(POSTP),predic.cond.3p.pl
rağmenmiş	rağmen(POSTP),predic.evid.3p.sg
rağmenmişim	rağmen(POSTP),predic.evid.1p.sg
rağmenmişiz	rağmen(POSTP),predic.evid.1p.pl
rağmenmişler	rağmen(POSTP),predic.evid.3p.pl
rağmenmişsin	rağmen(POSTP),predic.evid.2p.sg
