dair	dair(POSTP.invar)
gibilerindeydim	gibi(POSTP),num.pl,poss.3p.pl,case.loc,predic.perf.1p.sg
gibilerindeydim	gibi(POSTP),num.pl,poss.3p.sg,case.loc,predic.perf.1p.sg
gibilerindeydim	gibi(POSTP),num.sg,poss.3p.pl,case.loc,predic.perf.1p.sg
gibilerindeydin	gibi(POSTP),num.pl,poss.2p.sg,case.loc,predic.perf.2p.sg
gibilerindeydin	gibi(POSTP),num.pl,poss.3p.pl,case.loc,predic.perf.2p.sg
gibilerindeydin	gibi(POSTP),num.pl,poss.3p.sg,case.loc,predic.perf.2p.sg
gibilerindeydin	gibi(POSTP),num.sg,poss.3p.pl,case.loc,predic.perf.2p.sg
gibilerindeydiniz	gibi(POSTP),num.pl,poss.2p.sg,case.loc,predic.perf.2p.pl
gibilerindeydiniz	gibi(POSTP),num.pl,poss.3p.pl,case.loc,predic.perf.2p.pl
gibilerindeydiniz	gibi(POSTP),num.pl,poss.3p.sg,case.loc,predic.perf.2p.pl
gibilerindeydiniz	gibi(POSTP),num.sg,poss.3p.pl,case.loc,predic.perf.2p.pl
gibilerindeyim	gibi(POSTP),num.pl,poss.2p.sg,case.loc,predic.pres.1p.sg
gibilerindeyim	gibi(POSTP),num.pl,poss.3p.pl,case.loc,predic.pres.1p.sg
gibilerindeyim	gibi(POSTP),num.pl,poss.3p.sg,case.loc,predic.pres.1p.sg
gibilerindeyim	gibi(POSTP),num.sg,poss.3p.pl,case.loc,predic.pres.1p.sg
gibilerindeyiz	gibi(POSTP),num.pl,poss.2p.sg,case.loc,predic.pres.1p.pl
gibilerindeyiz	gibi(POSTP),num.pl,poss.3p.pl,case.loc,predic.pres.1p.pl
gibilerindeyiz	gibi(POSTP),num.pl,poss.3p.sg,case.loc,predic.pres.1p.pl
gibilerindeyiz	gibi(POSTP),num.sg,poss.3p.pl,case.loc,predic.pres.1p.pl
gibilerindeymiş	gibi(POSTP),num.pl,poss.2p.sg,case.loc,predic.evid.3p.sg
gibilerindeymiş	gibi(POSTP),num.pl,poss.3p.pl,case.loc,predic.evid.3p.sg
gibilerindeymiş	gibi(POSTP),num.pl,poss.3p.sg,case.loc,predic.evid.3p.sg
gibilerindeymiş	gibi(POSTP),num.sg,poss.3p.pl,case.loc,predic.evid.3p.sg
gibilerindeymişim	gibi(POSTP),num.pl,poss.2p.sg,case.loc,predic.evid.1p.sg
gibilerindeymişim	gibi(POSTP),num.pl,poss.3p.pl,case.loc,predic.evid.1p.sg
gibilerindeymişim	gibi(POSTP),num.pl,poss.3p.sg,case.loc,predic.evid.1p.sg
gibilerindeymişim	gibi(POSTP),num.sg,poss.3p.pl,case.loc,predic.evid.1p.sg
gibilerindeymişiz	gibi(POSTP),num.pl,poss.2p.sg,case.loc,predic.evid.1p.pl
gibilerindeymişiz	gibi(POSTP),num.pl,poss.3p.pl,case.loc,predic.evid.1p.pl
gibilerindeymişiz	gibi(POSTP),num.pl,poss.3p.sg,case.loc,predic.evid.1p.pl
gibilerindeymişiz	gibi(POSTP),num.sg,poss.3p.pl,case.loc,predic.evid.1p.pl
gibilerindeymişler	gibi(POSTP),num.pl,poss.2p.sg,case.loc,predic.evid.3p.pl
gibilerindeymişler	gibi(POSTP),num.pl,poss.3p.pl,case.loc,predic.evid.3p.pl
gibilerindeymişler	gibi(POSTP),num.pl,poss.3p.sg,case.loc,predic.evid.3p.pl
gibilerindeymişler	gibi(POSTP),num.sg,poss.3p.pl,case.loc,predic.evid.3p.pl
gibilerindeymişsin	gibi(POSTP),num.pl,poss.2p.sg,case.loc,predic.evid.2p.sg
gibilerindeymişsin	gibi(POSTP),num.pl,poss.3p.pl,case.loc,predic.evid.2p.sg
gibilerindeymişsin	gibi(POSTP),num.pl,poss.3p.sg,case.loc,predic.evid.2p.sg
gibilerindeymişsin	gibi(POSTP),num.sg,poss.3p.pl,case.loc,predic.evid.2p.sg
gibilerindeymişsiniz	gibi(POSTP),num.pl,poss.2p.sg,case.loc,predic.evid.2p.pl
gibilerindeymişsiniz	gibi(POSTP),num.pl,poss.3p.pl,case.loc,predic.evid.2p.pl
gibilerindeymişsiniz	gibi(POSTP),num.pl,poss.3p.sg,case.loc,predic.evid.2p.pl
gibilerindeymişsiniz	gibi(POSTP),num.sg,poss.3p.pl,case.loc,predic.evid.2p.pl
gibilerindeyse	gibi(POSTP),num.pl,poss.2p.sg,case.loc,predic.cond.3p.sg
gibilerindeyse	gibi(POSTP),num.pl,poss.3p.pl,case.loc,predic.cond.3p.sg
gibilerindeyse	gibi(POSTP),num.pl,poss.3p.sg,case.loc,predic.cond.3p.sg
gibilerindeyse	gibi(POSTP),num.sg,poss.3p.pl,case.loc,predic.cond.3p.sg
gibilerindeysek	gibi(POSTP),num.pl,poss.2p.sg,case.loc,predic.cond.1p.pl
gibilerindeysek	gibi(POSTP),num.pl,poss.3p.pl,case.loc,predic.cond.1p.pl
gibilerindeysek	gibi(POSTP),num.pl,poss.3p.sg,case.loc,predic.cond.1p.pl
gibilerindeysek	gibi(POSTP),num.sg,poss.3p.pl,case.loc,predic.cond.1p.pl
gibilerindeyseler	gibi(POSTP),num.pl,poss.2p.sg,case.loc,predic.cond.3p.pl
gibilerindeyseler	gibi(POSTP),num.pl,poss.3p.pl,case.loc,predic.cond.3p.pl
gibilerindeyseler	gibi(POSTP),num.pl,poss.3p.sg,case.loc,predic.cond.3p.pl
gibilerindeyseler	gibi(POSTP),num.sg,poss.3p.pl,case.loc,predic.cond.3p.pl
gibilerindeysem	gibi(POSTP),num.pl,poss.2p.sg,case.loc,predic.cond.1p.sg
gibilerindeysem	gibi(POSTP),num.pl,poss.3p.pl,case.loc,predic.cond.1p.sg
gibilerindeysem	gibi(POSTP),num.pl,poss.3p.sg,case.loc,predic.cond.1p.sg
gibilerindeysem	gibi(POSTP),num.sg,poss.3p.pl,case.loc,predic.cond.1p.sg
gibilerindeysen	gibi(POSTP),num.pl,poss.2p.sg,case.loc,predic.cond.2p.sg
gibilerindeysen	gibi(POSTP),num.pl,poss.3p.pl,case.loc,predic.cond.2p.sg
gibilerindeysen	gibi(POSTP),num.pl,poss.3p.sg,case.loc,predic.cond.2p.sg
gibilerindeysen	gibi(POSTP),num.sg,poss.3p.pl,case.loc,predic.cond.2p.sg
gibilerindeyseniz	gibi(POSTP),num.pl,poss.2p.sg,case.loc,predic.cond.2p.pl
gibilerindeyseniz	gibi(POSTP),num.pl,poss.3p.pl,case.loc,predic.cond.2p.pl
gibilerindeyseniz	gibi(POSTP),num.pl,poss.3p.sg,case.loc,predic.cond.2p.pl
gibilerindeyseniz	gibi(POSTP),num.sg,poss.3p.pl,case.loc,predic.cond.2p.pl
gibilerindi	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.perf.3p.sg
gibilerindik	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.perf.1p.pl
gibilerindiler	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.perf.3p.pl
gibilerindim	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.perf.1p.sg
gibilerindin	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.perf.2p.sg
gibilerindiniz	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.perf.2p.pl
gibilerindir	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.pres.3p.sg
gibilerindirler	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.pres.3p.pl
gibilerine	gibi(POSTP),num.pl,poss.2p.sg,case.dat
gibilerine	gibi(POSTP),num.pl,poss.3p.pl,case.dat
gibilerine	gibi(POSTP),num.pl,poss.3p.sg,case.dat
gibilerine	gibi(POSTP),num.sg,poss.3p.pl,case.dat
gibilerini	gibi(POSTP),num.pl,poss.2p.sg,case.acc
gibilerini	gibi(POSTP),num.pl,poss.3p.pl,case.acc
gibilerini	gibi(POSTP),num.pl,poss.3p.sg,case.acc
gibilerini	gibi(POSTP),num.sg,poss.3p.pl,case.acc
gibilerinim	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.pres.1p.sg
gibilerinin	gibi(POSTP),num.pl,poss.2p.sg,case.gen
gibilerinin	gibi(POSTP),num.pl,poss.3p.pl,case.gen
gibilerinin	gibi(POSTP),num.pl,poss.3p.sg,case.gen
gibilerinin	gibi(POSTP),num.sg,poss.3p.pl,case.gen
gibileriniz	gibi(POSTP),num.pl,poss.2p.pl,case.nom
gibileriniz	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.pres.1p.pl
gibilerinizde	gibi(POSTP),num.pl,poss.2p.pl,case.loc
gibilerinizdedir	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.pres.3p.sg
gibilerinizdedirler	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.pres.3p.pl
gibilerinizdelerdi	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.perf.3p.pl
gibilerinizdelerdir	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.pres.3p.pl
gibilerinizdelermiş	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.evid.3p.pl
gibilerinizdelerse	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.cond.3p.pl
gibilerinizden	gibi(POSTP),num.pl,poss.2p.pl,case.abl
gibilerinizdesin	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.pres.2p.sg
gibilerinizdesiniz	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.pres.2p.pl
gibilerinizdeydi	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.perf.3p.sg
gibilerinizdeydik	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.perf.1p.pl
gibilerinizdeydiler	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.perf.3p.pl
gibilerinizdeydim	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.perf.1p.sg
gibilerinizdeydin	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.perf.2p.sg
gibilerinizdeydiniz	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.perf.2p.pl
gibilerinizdeyim	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.pres.1p.sg
gibilerinizdeyiz	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.pres.1p.pl
gibilerinizdeymiş	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.evid.3p.sg
gibilerinizdeymişim	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.evid.1p.sg
gibilerinizdeymişiz	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.evid.1p.pl
gibilerinizdeymişler	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.evid.3p.pl
gibilerinizdeymişsin	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.evid.2p.sg
gibilerinizdeymişsiniz	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.evid.2p.pl
gibilerinizdeyse	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.cond.3p.sg
gibilerinizdeysek	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.cond.1p.pl
gibilerinizdeyseler	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.cond.3p.pl
gibilerinizdeysem	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.cond.1p.sg
gibilerinizdeysen	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.cond.2p.sg
gibilerinizdeyseniz	gibi(POSTP),num.pl,poss.2p.pl,case.loc,predic.cond.2p.pl
gibilerinizdi	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.perf.3p.sg
gibilerinizdik	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.perf.1p.pl
gibilerinizdiler	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.perf.3p.pl
gibilerinizdim	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.perf.1p.sg
gibilerinizdin	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.perf.2p.sg
gibilerinizdiniz	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.perf.2p.pl
gibilerinizdir	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.pres.3p.sg
gibilerinizdirler	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.pres.3p.pl
gibilerinize	gibi(POSTP),num.pl,poss.2p.pl,case.dat
gibilerinizi	gibi(POSTP),num.pl,poss.2p.pl,case.acc
gibilerinizim	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.pres.1p.sg
gibilerinizin	gibi(POSTP),num.pl,poss.2p.pl,case.gen
gibileriniziz	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.pres.1p.pl
gibilerinizle	gibi(POSTP),num.pl,poss.2p.pl,case.instr
gibilerinizlerdi	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.perf.3p.pl
gibilerinizlerdir	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.pres.3p.pl
gibilerinizlermiş	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.evid.3p.pl
gibilerinizlerse	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.cond.3p.pl
gibilerinizmiş	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.evid.3p.sg
gibilerinizmişim	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.evid.1p.sg
gibilerinizmişiz	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.evid.1p.pl
gibilerinizmişler	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.evid.3p.pl
gibilerinizmişsin	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.evid.2p.sg
gibilerinizmişsiniz	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.evid.2p.pl
gibilerinizse	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.cond.3p.sg
gibilerinizsek	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.cond.1p.pl
gibilerinizseler	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.cond.3p.pl
gibilerinizsem	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.cond.1p.sg
gibilerinizsen	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.cond.2p.sg
gibilerinizseniz	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.cond.2p.pl
gibilerinizsin	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.pres.2p.sg
gibilerinizsiniz	gibi(POSTP),num.pl,poss.2p.pl,case.nom,predic.pres.2p.pl
gibilerinle	gibi(POSTP),num.pl,poss.2p.sg,case.instr
gibilerinlerdi	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.perf.3p.pl
gibilerinlerdir	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.pres.3p.pl
gibilerinlermiş	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.evid.3p.pl
gibilerinlerse	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.cond.3p.pl
gibilerinmiş	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.evid.3p.sg
gibilerinmişim	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.evid.1p.sg
gibilerinmişiz	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.evid.1p.pl
gibilerinmişler	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.evid.3p.pl
gibilerinmişsin	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.evid.2p.sg
gibilerinmişsiniz	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.evid.2p.pl
gibilerinse	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.cond.3p.sg
gibilerinsek	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.cond.1p.pl
gibilerinseler	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.cond.3p.pl
gibilerinsem	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.cond.1p.sg
gibilerinsen	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.cond.2p.sg
gibilerinseniz	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.cond.2p.pl
gibilerinsin	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.pres.2p.sg
gibilerinsiniz	gibi(POSTP),num.pl,poss.2p.sg,case.nom,predic.pres.2p.pl
gibilerisin	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.pres.2p.sg
gibilerisin	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.pres.2p.sg
gibilerisin	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.pres.2p.sg
gibilerisiniz	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.pres.2p.pl
gibilerisiniz	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.pres.2p.pl
gibilerisiniz	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.pres.2p.pl
gibileriydi	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.perf.3p.sg
gibileriydi	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.perf.3p.sg
gibileriydi	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.perf.3p.sg
gibileriydik	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.perf.1p.pl
gibileriydik	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.perf.1p.pl
gibileriydik	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.perf.1p.pl
gibileriydiler	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.perf.3p.pl
gibileriydiler	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.perf.3p.pl
gibileriydiler	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.perf.3p.pl
gibileriydim	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.perf.1p.sg
gibileriydim	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.perf.1p.sg
gibileriydim	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.perf.1p.sg
gibileriydin	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.perf.2p.sg
gibileriydin	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.perf.2p.sg
gibileriydin	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.perf.2p.sg
gibileriydiniz	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.perf.2p.pl
gibileriydiniz	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.perf.2p.pl
gibileriydiniz	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.perf.2p.pl
gibileriyim	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.pres.1p.sg
gibileriyim	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.pres.1p.sg
gibileriyim	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.pres.1p.sg
gibileriyiz	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.pres.1p.pl
gibileriyiz	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.pres.1p.pl
gibileriyiz	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.pres.1p.pl
gibileriyle	gibi(POSTP),num.pl,poss.3p.pl,case.instr
gibileriyle	gibi(POSTP),num.pl,poss.3p.sg,case.instr
gibileriyle	gibi(POSTP),num.sg,poss.3p.pl,case.instr
gibileriymiş	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.evid.3p.sg
gibileriymiş	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.evid.3p.sg
gibileriymiş	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.evid.3p.sg
gibileriymişim	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.evid.1p.sg
gibileriymişim	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.evid.1p.sg
gibileriymişim	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.evid.1p.sg
gibileriymişiz	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.evid.1p.pl
gibileriymişiz	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.evid.1p.pl
gibileriymişiz	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.evid.1p.pl
gibileriymişler	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.evid.3p.pl
gibileriymişler	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.evid.3p.pl
gibileriymişler	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.evid.3p.pl
gibileriymişsin	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.evid.2p.sg
gibileriymişsin	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.evid.2p.sg
gibileriymişsin	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.evid.2p.sg
gibileriymişsiniz	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.evid.2p.pl
gibileriymişsiniz	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.evid.2p.pl
gibileriymişsiniz	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.evid.2p.pl
gibileriyse	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.cond.3p.sg
gibileriyse	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.cond.3p.sg
gibileriyse	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.cond.3p.sg
gibileriysek	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.cond.1p.pl
gibileriysek	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.cond.1p.pl
gibileriysek	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.cond.1p.pl
gibileriyseler	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.cond.3p.pl
gibileriyseler	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.cond.3p.pl
gibileriyseler	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.cond.3p.pl
gibileriysem	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.cond.1p.sg
gibileriysem	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.cond.1p.sg
gibileriysem	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.cond.1p.sg
gibileriysen	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.cond.2p.sg
gibileriysen	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.cond.2p.sg
gibileriysen	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.cond.2p.sg
gibileriyseniz	gibi(POSTP),num.pl,poss.3p.pl,case.nom,predic.cond.2p.pl
gibileriyseniz	gibi(POSTP),num.pl,poss.3p.sg,case.nom,predic.cond.2p.pl
gibileriyseniz	gibi(POSTP),num.sg,poss.3p.pl,case.nom,predic.cond.2p.pl
gibileriz	gibi(POSTP),num.pl,case.nom,predic.pres.1p.pl
gibilerle	gibi(POSTP),num.pl,case.instr
gibilerlerdi	gibi(POSTP),num.pl,case.nom,predic.perf.3p.pl
gibilerlerdir	gibi(POSTP),num.pl,case.nom,predic.pres.3p.pl
gibilerlermiş	gibi(POSTP),num.pl,case.nom,predic.evid.3p.pl
gibilerlerse	gibi(POSTP),num.pl,case.nom,predic.cond.3p.pl
gibilermiş	gibi(POSTP),num.pl,case.nom,predic.evid.3p.sg
gibilermiş	gibi(POSTP),num.sg,case.nom,predic.evid.3p.pl
gibilermişim	gibi(POSTP),num.pl,case.nom,predic.evid.1p.sg
gibilermişiz	gibi(POSTP),num.pl,case.nom,predic.evid.1p.pl
gibilermişler	gibi(POSTP),num.pl,case.nom,predic.evid.3p.pl
gibilermişsin	gibi(POSTP),num.pl,case.nom,predic.evid.2p.sg
gibilermişsiniz	gibi(POSTP),num.pl,case.nom,predic.evid.2p.pl
gibilerse	gibi(POSTP),num.pl,case.nom,predic.cond.3p.sg
gibilerse	gibi(POSTP),num.sg,case.nom,predic.cond.3p.pl
gibilersek	gibi(POSTP),num.pl,case.nom,predic.cond.1p.pl
gibilerseler	gibi(POSTP),num.pl,case.nom,predic.cond.3p.pl
gibilersem	gibi(POSTP),num.pl,case.nom,predic.cond.1p.sg
gibilersen	gibi(POSTP),num.pl,case.nom,predic.cond.2p.sg
gibilerseniz	gibi(POSTP),num.pl,case.nom,predic.cond.2p.pl
gibilersin	gibi(POSTP),num.pl,case.nom,predic.pres.2p.sg
gibilersiniz	gibi(POSTP),num.pl,case.nom,predic.pres.2p.pl
gibim	gibi(POSTP),num.sg,poss.1p.sg,case.nom
gibimde	gibi(POSTP),num.sg,poss.1p.sg,case.loc
gibimdedir	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.pres.3p.sg
gibimdedirler	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.pres.3p.pl
gibimdelerdi	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.perf.3p.pl
gibimdelerdir	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.pres.3p.pl
gibimdelermiş	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.evid.3p.pl
gibimdelerse	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.cond.3p.pl
gibimden	gibi(POSTP),num.sg,poss.1p.sg,case.abl
gibimdesin	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.pres.2p.sg
gibimdesiniz	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.pres.2p.pl
gibimdeydi	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.perf.3p.sg
gibimdeydik	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.perf.1p.pl
gibimdeydiler	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.perf.3p.pl
gibimdeydim	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.perf.1p.sg
gibimdeydin	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.perf.2p.sg
gibimdeydiniz	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.perf.2p.pl
gibimdeyim	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.pres.1p.sg
gibimdeyiz	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.pres.1p.pl
gibimdeymiş	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.evid.3p.sg
gibimdeymişim	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.evid.1p.sg
gibimdeymişiz	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.evid.1p.pl
gibimdeymişler	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.evid.3p.pl
gibimdeymişsin	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.evid.2p.sg
gibimdeymişsiniz	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.evid.2p.pl
gibimdeyse	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.cond.3p.sg
gibimdeysek	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.cond.1p.pl
gibimdeyseler	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.cond.3p.pl
gibimdeysem	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.cond.1p.sg
gibimdeysen	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.cond.2p.sg
gibimdeyseniz	gibi(POSTP),num.sg,poss.1p.sg,case.loc,predic.cond.2p.pl
gibimdi	gibi(POSTP),num.sg,poss.1p.sg,case.nom,predic.perf.3p.sg
gibimdik	gibi(POSTP),num.sg,poss.1p.sg,case.nom,predic.perf.1p.pl
gibimdiler	gibi(POSTP),num.sg,poss.1p.sg,case.nom,predic.perf.3p.pl
