ben
[bana] PRON.personal.1p.sg,case.dat
[bun]larınsın PRON.demo.pl,case.gen,perf.ind.pres.2per.sg
[bun]larınsınız PRON.demo.pl,case.gen,perf.ind.pres.2per.pl
[bun]larınım PRON.demo.pl,case.gen,perf.ind.pres.1per.sg
[bun]larınız PRON.demo.pl,case.gen,perf.ind.pres.1per.pl
[bun]larısın PRON.demo.pl,case.acc,perf.ind.pres.2per.sg
[bun]larısınız PRON.demo.pl,case.acc,perf.ind.pres.2per.pl
[bun]larıydı PRON.demo.pl,case.acc,perf.ind.past.3per.sg
[bun]larıymış PRON.demo.pl,case.acc,perf.nfh.ind.past.3per.sg
[bun]larıysa PRON.demo.pl,case.acc,perf.cnd.pres.3per.sg
[bun]larıyım PRON.demo.pl,case.acc,perf.ind.pres.1per.sg
[bun]larıyız PRON.demo.pl,case.acc,perf.ind.pres.1per.pl
[bun]larız PRON.demo.pl,case.nom,perf.ind.pres.1per.pl
[bun]u PRON.demo.sg,case.acc
[bun]uyken PRON.demo.sg,case.acc,converb
[bun]udur PRON.demo.sg,case.acc,perf.gen.pres.3per.sg
[bun]udurlar PRON.demo.sg,case.acc,perf.gen.pres.3per.pl
[bun]ulardır PRON.demo.sg,case.acc,perf.gen.pres.3per.pl
[bun]un PRON.demo.sg,case.gen
[bun]unken PRON.demo.sg,case.gen,converb
[bun]unki PRON.demo.sg,case.gen,<ki>,num.sg,case.nom
[bun]unkini PRON.demo.sg,case.gen,<ki>,case.acc
[bun]unkininki PRON.demo.sg,case.gen,<ki>,num.sg,case.gen,<ki>
[bun]unkine PRON.demo.sg,case.gen,<ki>,case.dat
[bun]unkinde PRON.demo.sg,case.gen,<ki>,case.loc
[bun]unkinden PRON.demo.sg,case.gen,<ki>,case.abl
[bun]unkiyle PRON.demo.sg,case.gen,<ki>,case.instr
[bun]unkiler PRON.demo.sg,case.gen,<ki>,num.pl,case.nom
[bun]unkiler PRON.demo.sg,case.gen,<ki>,perf.ind.pres.3per.pl
[bun]unkilerde PRON.demo.sg,case.gen,<ki>,num.pl,case.loc
[bun]unkilerden PRON.demo.sg,case.gen,<ki>,num.pl,case.abl
[bun]unkilere PRON.demo.sg,case.gen,<ki>,num.pl,case.dat
[bun]unkileri PRON.demo.sg,case.gen,<ki>,num.pl,case.acc
[bun]unkilerin PRON.demo.sg,case.gen,<ki>,num.pl,case.gen
[bun]unkilerinki PRON.demo.sg,case.gen,<ki>,num.pl,case.gen,<ki>
[bun]unkilerle PRON.demo.sg,case.gen,<ki>,num.pl,case.instr
[bun]unkiyleyken PRON.demo.sg,case.gen,<ki>,case.instr,converb
[bun]unkiysem PRON.demo.sg,case.gen,<ki>,perf.cnd.pres.1per.sg
[bun]unkiysen PRON.demo.sg,case.gen,<ki>,perf.cnd.pres.2per.sg
[bun]unkiyse PRON.demo.sg,case.gen,<ki>,perf.cnd.pres.3per.sg
[bun]unkiysek PRON.demo.sg,case.gen,<ki>,perf.cnd.pres.1per.pl
[bun]unkiyseniz PRON.demo.sg,case.gen,<ki>,perf.cnd.pres.2per.pl
[bun]unkiyseler PRON.demo.sg,case.gen,<ki>,perf.cnd.pres.3per.pl
[bun]unkilerse PRON.demo.sg,case.gen,<ki>,perf.cnd.pres.3per.pl
[bun]undu PRON.demo.sg,case.gen,perf.ind.past.3per.sg
[bun]undum PRON.demo.sg,case.gen,perf.ind.past.1per.sg
[bun]undun PRON.demo.sg,case.gen,perf.ind.past.2per.sg
[bun]undu PRON.demo.sg,case.gen,perf.ind.past.3per.sg
[bun]unduk PRON.demo.sg,case.gen,perf.ind.past.1per.pl
[bun]undunuz PRON.demo.sg,case.gen,perf.ind.past.2per.pl
[bun]undular PRON.demo.sg,case.gen,perf.ind.past.3per.pl
[bun]unlardı PRON.demo.sg,case.gen,perf.ind.past.3per.pl
[bun]undur PRON.demo.sg,case.gen,perf.gen.pres.3per.sg
[bun]undurlar PRON.demo.sg,case.gen,perf.gen.pres.3per.pl
[bun]unmuşum PRON.demo.sg,case.gen,perf.nfh.ind.past.1per.sg
[bun]unmuşsun PRON.demo.sg,case.gen,perf.nfh.ind.past.2per.sg
[bun]unmuş PRON.demo.sg,case.gen,perf.nfh.ind.past.3per.sg
[bun]unmuşuz PRON.demo.sg,case.gen,perf.nfh.ind.past.1per.pl
[bun]unmuşsunuz PRON.demo.sg,case.gen,perf.nfh.ind.past.2per.pl
[bun]unmuşlar PRON.demo.sg,case.gen,perf.nfh.ind.past.3per.pl
[bun]unlarmış PRON.demo.sg,case.gen,perf.nfh.ind.past.3per.pl
[bun]unsam PRON.demo.sg,case.gen,perf.cnd.pres.1per.sg
[bun]unsan PRON.demo.sg,case.gen,perf.cnd.pres.2per.sg
[bun]unsa PRON.demo.sg,case.gen,perf.cnd.pres.3per.sg
[bun]unsak PRON.demo.sg,case.gen,perf.cnd.pres.1per.pl
[bun]unsanız PRON.demo.sg,case.gen,perf.cnd.pres.2per.pl
[bun]unsalar PRON.demo.sg,case.gen,perf.cnd.pres.3per.pl
[bun]unlarken PRON.demo.sg,case.gen,perf.ind.pres.3per.pl,converb
[bun]unlarsa PRON.demo.sg,case.gen,perf.ind.pres.3per.pl,perf.cnd.pres.3per.sg
[bun]unsun PRON.demo.sg,case.gen,perf.ind.pres.2per.sg
[bun]unsunuz PRON.demo.sg,case.gen,perf.ind.pres.2per.pl
[bun]unum PRON.demo.sg,case.gen,perf.ind.pres.1per.sg
[bun]unuz PRON.demo.sg,case.gen,perf.ind.pres.1per.pl
[bun]usun PRON.demo.sg,case.acc,perf.ind.pres.2per.sg
[bun]usunuz PRON.demo.sg,case.acc,perf.ind.pres.2per.pl
[bun]uydu PRON.demo.sg,case.acc,perf.ind.past.3per.sg
[bun]uymuş PRON.demo.sg,case.acc,perf.nfh.ind.past.3per.sg
[bun]uysa PRON.demo.sg,case.acc,perf.cnd.pres.3per.sg
[bun]uyum PRON.demo.sg,case.acc,perf.ind.pres.1per.sg
[bun]uyuz PRON.demo.sg,case.acc,perf.ind.pres.1per.pl
[bun]la PRON.demo.sg,case.instr
[bun]layken PRON.demo.sg,case.instr,converb
[bun]da PRON.demo.sg,case.loc
[bun]dayken PRON.demo.sg,case.loc,converb
[bun]dalarken PRON.demo.sg,case.loc,converb
[bun]daki PRON.demo.sg,case.loc,<ki>
[bun]dakini PRON.demo.sg,case.loc,<ki>,case.acc
[bun]dakinin PRON.demo.sg,case.loc,<ki>,case.gen
[bun]dakine PRON.demo.sg,case.loc,<ki>,case.dat
[bun]dakinde PRON.demo.sg,case.loc,<ki>,case.loc
[bun]dakinden PRON.demo.sg,case.loc,<ki>,case.abl
[bun]dakiyle PRON.demo.sg,case.loc,<ki>,case.instr
[bun]dakiler PRON.demo.sg,case.loc,<ki>,num.pl
[bun]dakileri PRON.demo.sg,case.loc,<ki>,num.pl,case.acc
[bun]dakilere PRON.demo.sg,case.loc,<ki>,num.pl,case.dat
[bun]dakilerin PRON.demo.sg,case.loc,<ki>,num.pl,case.gen
[bun]dakilerinki PRON.demo.sg,case.loc,<ki>,num.pl,case.gen,<ki>
[bun]dakilerde PRON.demo.sg,case.loc,<ki>,num.pl,case.loc
[bun]dakilerden PRON.demo.sg,case.loc,<ki>,num.pl,case.abl
[bun]dakilerle PRON.demo.sg,case.loc,<ki>,num.pl,case.instr
[bun]dadır PRON.demo.sg,case.loc,perf.gen.pres.3per.sg
[bun]dadırlar PRON.demo.sg,case.loc,perf.gen.pres.3per.pl
[bun]dalardır PRON.demo.sg,case.loc,perf.gen.pres.3per.pl
[bun]dan PRON.demo.sg,case.abl
[bun]danken PRON.demo.sg,case.abl,converb
[bun]dalar PRON.demo.sg,case.loc,perf.ind.pres.3per.pl
[bun]dandım PRON.demo.sg,case.abl,perf.ind.past.1per.sg
[bun]dandın PRON.demo.sg,case.abl,perf.ind.past.2per.sg
[bun]dandı PRON.demo.sg,case.abl,perf.ind.past.3per.sg
[bun]dandık PRON.demo.sg,case.abl,perf.ind.past.1per.pl
[bun]dandınız PRON.demo.sg,case.abl,perf.ind.past.2per.pl
[bun]dandılar PRON.demo.sg,case.abl,perf.ind.past.3per.pl
[bun]danlardı PRON.demo.sg,case.abl,perf.ind.past.3per.pl
[bun]dandır PRON.demo.sg,case.abl,perf.gen.pres.3per.sg
[bun]dandırlar PRON.demo.sg,case.abl,perf.gen.pres.3per.pl
[bun]danlardır PRON.demo.sg,case.abl,perf.gen.pres.3per.pl
[bun]danmışım PRON.demo.sg,case.abl,perf.nfh.ind.past.1per.sg
[bun]danmışsın PRON.demo.sg,case.abl,perf.nfh.ind.past.2per.sg
[bun]danmış PRON.demo.sg,case.abl,perf.nfh.ind.past.3per.sg
[bun]danmışız PRON.demo.sg,case.abl,perf.nfh.ind.past.1per.pl
[bun]danmışsınız PRON.demo.sg,case.abl,perf.nfh.ind.past.2per.pl
[bun]danmışlar PRON.demo.sg,case.abl,perf.nfh.ind.past.3per.pl
[bun]danlarmış PRON.demo.sg,case.abl,perf.nfh.ind.past.3per.pl
[bun]dansam PRON.demo.sg,case.abl,perf.cnd.pres.1per.sg
[bun]dansan PRON.demo.sg,case.abl,perf.cnd.pres.2per.sg
[bun]dansa PRON.demo.sg,case.abl,perf.cnd.pres.3per.sg
[bun]dansak PRON.demo.sg,case.abl,perf.cnd.pres.1per.pl
[bun]dansanız PRON.demo.sg,case.abl,perf.cnd.pres.2per.pl
[bun]dansalar PRON.demo.sg,case.abl,perf.cnd.pres.3per.pl
[bun]danlarsa PRON.demo.sg,case.abl,perf.cnd.pres.3per.pl
[bun]dansın PRON.demo.sg,case.abl,perf.ind.pres.2per.sg
[bun]dansınız PRON.demo.sg,case.abl,perf.ind.pres.2per.pl
[bun]danım PRON.demo.sg,case.abl,perf.ind.pres.1per.sg
[bun]dansın PRON.demo.sg,case.abl,perf.ind.pres.2per.sg
[bun]danız PRON.demo.sg,case.abl,perf.ind.pres.1per.pl
[bun]dansıniz PRON.demo.sg,case.abl,perf.ind.pres.2per.pl
[bun]danlar PRON.demo.sg,case.abl,perf.ind.pres.3per.pl
[bun]danız PRON.demo.sg,case.abl,perf.ind.pres.1per.pl
[bun]dasın PRON.demo.sg,case.loc,perf.ind.pres.2per.sg
[bun]dasınız PRON.demo.sg,case.loc,perf.ind.pres.2per.pl
[bun]daydım PRON.demo.sg,case.loc,perf.ind.past.1per.sg
[bun]daydın PRON.demo.sg,case.loc,perf.ind.past.2per.sg
[bun]daydı PRON.demo.sg,case.loc,perf.ind.past.3per.sg
[bun]daydık PRON.demo.sg,case.loc,perf.ind.past.1per.pl
[bun]daydınız PRON.demo.sg,case.loc,perf.ind.past.2per.pl
[bun]daydılar PRON.demo.sg,case.loc,perf.ind.past.3per.pl
[bun]dalardı PRON.demo.sg,case.loc,perf.ind.past.3per.pl
[bun]daymışım PRON.demo.sg,case.loc,perf.nfh.ind.past.1per.sg
[bun]daymışsın PRON.demo.sg,case.loc,perf.nfh.ind.past.2per.sg
[bun]daymış PRON.demo.sg,case.loc,perf.nfh.ind.past.3per.sg
[bun]daymışız PRON.demo.sg,case.loc,perf.nfh.ind.past.1per.pl
[bun]daymışsınız PRON.demo.sg,case.loc,perf.nfh.ind.past.2per.pl
[bun]daymışlar PRON.demo.sg,case.loc,perf.nfh.ind.past.3per.pl
[bun]dalarmış PRON.demo.sg,case.loc,perf.nfh.ind.past.3per.pl
[bun]daysam PRON.demo.sg,case.loc,perf.cnd.pres.1per.sg
[bun]daysan PRON.demo.sg,case.loc,perf.cnd.pres.2per.sg
[bun]daysa PRON.demo.sg,case.loc,perf.cnd.pres.3per.sg
[bun]daysak PRON.demo.sg,case.loc,perf.cnd.pres.1per.pl
[bun]daysanız PRON.demo.sg,case.loc,perf.cnd.pres.2per.pl
[bun]daysalar PRON.demo.sg,case.loc,perf.cnd.pres.3per.pl
[bun]dalarsa PRON.demo.sg,case.loc,perf.cnd.pres.3per.pl
[bun]dayım PRON.demo.sg,case.loc,perf.ind.pres.1per.sg
[bun]dayız PRON.demo.sg,case.loc,perf.ind.pres.1per.pl
[bun]danımdır PRON.demo.sg,case.abl,perf.gen.pres.1per.sg
[bun]dansındır PRON.demo.sg,case.abl,perf.gen.pres.2per.sg
[bun]danızdır PRON.demo.sg,case.abl,perf.gen.pres.1per.pl
[bun]dansınızdır PRON.demo.sg,case.abl,perf.gen.pres.2per.pl
[bun]dandırlar PRON.demo.sg,case.abl,perf.gen.pres.3per.pl
[bun]danlardır PRON.demo.sg,case.abl,perf.gen.pres.3per.pl
[bun]unla PRON.demo.sg,case.instr
[bun]unladır PRON.demo.sg,case.instr,perf.gen.pres.3per.sg
[bun]unladırlar PRON.demo.sg,case.instr,perf.gen.pres.3per.pl
[bun]unlalardır PRON.demo.sg,case.instr,perf.gen.pres.3per.pl
[bun]unlalar PRON.demo.sg,case.instr,perf.ind.pres.3per.pl
[bun]unlardır PRON.demo.sg,case.gen,perf.gen.pres.3per.pl
[bun]unlasın PRON.demo.sg,case.instr,perf.ind.pres.2per.sg
[bun]unlasınız PRON.demo.sg,case.instr,perf.ind.pres.2per.pl
[bun]unlaydım PRON.demo.sg,case.instr,perf.ind.past.1per.sg
[bun]unlaydın PRON.demo.sg,case.instr,perf.ind.past.2per.sg
[bun]unlaydı PRON.demo.sg,case.instr,perf.ind.past.3per.sg
[bun]unlaydık PRON.demo.sg,case.instr,perf.ind.past.1per.pl
[bun]unlaydınız PRON.demo.sg,case.instr,perf.ind.past.2per.pl
[bun]unlaydılar PRON.demo.sg,case.instr,perf.ind.past.3per.pl
[bun]unlalardı PRON.demo.sg,case.instr,perf.ind.past.3per.pl
[bun]unlaymışım PRON.demo.sg,case.instr,perf.nfh.ind.past.1per.sg
[bun]unlaymışsın PRON.demo.sg,case.instr,perf.nfh.ind.past.2per.sg
[bun]unlaymış PRON.demo.sg,case.instr,perf.nfh.ind.past.3per.sg
[bun]unlaymışız PRON.demo.sg,case.instr,perf.nfh.ind.past.1per.pl
[bun]unlaymışsınız PRON.demo.sg,case.instr,perf.nfh.ind.past.2per.pl
[bun]unlaymışlar PRON.demo.sg,case.instr,perf.nfh.ind.past.3per.pl
[bun]unlalarmış PRON.demo.sg,case.instr,perf.nfh.ind.past.3per.pl
[bun]unlaysam PRON.demo.sg,case.instr,perf.cnd.pres.1per.sg
[bun]unlaysan PRON.demo.sg,case.instr,perf.cnd.pres.2per.sg
[bun]unlaysa PRON.demo.sg,case.instr,perf.cnd.pres.3per.sg
[bun]unlaysak PRON.demo.sg,case.instr,perf.cnd.pres.1per.pl
[bun]unlaysanız PRON.demo.sg,case.instr,perf.cnd.pres.2per.pl
[bun]unlaysalar PRON.demo.sg,case.instr,perf.cnd.pres.3per.pl
[bun]unlalarsa PRON.demo.sg,case.instr,perf.cnd.pres.3per.pl
[bun]unlayım PRON.demo.sg,case.instr,perf.ind.pres.1per.sg
[bun]unlayız PRON.demo.sg,case.instr,perf.ind.pres.1per.pl
[bun]unlayken PRON.demo.sg,case.instr,converb
[bun]unlayımdır PRON.demo.sg,case.instr,perf.gen.pres.1per.sg
[bun]unlasındır PRON.demo.sg,case.instr,perf.gen.pres.2per.sg
[bun]unladır PRON.demo.sg,case.instr,perf.gen.pres.3per.sg
[bun]unlayızdır PRON.demo.sg,case.instr,perf.gen.pres.1per.pl
[bun]unlasınızdır PRON.demo.sg,case.instr,perf.gen.pres.2per.pl
[bun]unlalardır PRON.demo.sg,case.instr,perf.gen.pres.3per.pl
[bun]larlayımdır PRON.demo.pl,case.instr,perf.gen.pres.1per.sg
[bun]larlasındır PRON.demo.pl,case.instr,perf.gen.pres.2per.sg
[bun]larladır PRON.demo.pl,case.instr,perf.gen.pres.3per.sg
[bun]larlayızdır PRON.demo.pl,case.instr,perf.gen.pres.1per.pl
[bun]larlasınızdır PRON.demo.pl,case.instr,perf.gen.pres.2per.pl
[bun]larlalardır PRON.demo.pl,case.instr,perf.gen.pres.3per.pl
[bun]larladırlar PRON.demo.pl,case.instr,perf.gen.pres.3per.pl
[bun]larlayken PRON.demo.pl,case.instr,converb
[buy]muşumcasına PRON.demo.sg,perf.nfh.ind.past.conv.1per.sg
[buy]muşsuncasına PRON.demo.sg,perf.nfh.ind.past.conv.2per.sg
[buy]muşçasına PRON.demo.sg,perf.nfh.ind.past.conv.3per.sg
[buy]muşuzcasına PRON.demo.sg,perf.nfh.ind.past.conv.1per.pl
[buy]muşsunuzcasına PRON.demo.sg,perf.nfh.ind.past.conv.2per.pl
[buy]muşlarcasına PRON.demo.sg,perf.nfh.ind.past.conv.3per.pl
[bun]larmışçasına PRON.demo.pl,perf.nfh.ind.past.conv.3per.pl
[bun]unmuşumcasına PRON.demo.sg,case.gen,perf.nfh.ind.past.conv.1per.sg
[bun]unmuşsuncasına PRON.demo.sg,case.gen,perf.nfh.ind.past.conv.2per.sg
[bun]unmuşçasına PRON.demo.sg,case.gen,perf.nfh.ind.past.conv.3per.sg
[bun]unmuşuzcasına PRON.demo.sg,case.gen,perf.nfh.ind.past.conv.1per.pl
[bun]unmuşsunuzcasına PRON.demo.sg,case.gen,perf.nfh.ind.past.conv.2per.pl
[bun]unmuşlarcasına PRON.demo.sg,case.gen,perf.nfh.ind.past.conv.3per.pl
[bun]laymışımcasına PRON.demo.sg,case.instr,perf.nfh.ind.past.conv.1per.sg
[bun]laymışsıncasına PRON.demo.sg,case.instr,perf.nfh.ind.past.conv.2per.sg
[bun]laymışçasına PRON.demo.sg,case.instr,perf.nfh.ind.past.conv.3per.sg
[bun]laymışızcasına PRON.demo.sg,case.instr,perf.nfh.ind.past.conv.1per.pl
[bun]laymışsınızcasına PRON.demo.sg,case.instr,perf.nfh.ind.past.conv.2per.pl
[bun]laymışlarcasına PRON.demo.sg,case.instr,perf.nfh.ind.past.conv.3per.pl
[bun]unlaymışımcasına PRON.demo.sg,case.instr,perf.nfh.ind.past.conv.1per.sg
[bun]unlaymışsıncasına PRON.demo.sg,case.instr,perf.nfh.ind.past.conv.2per.sg
[bun]unlaymışçasına PRON.demo.sg,case.instr,perf.nfh.ind.past.conv.3per.sg
[bun]unlaymışızcasına PRON.demo.sg,case.instr,perf.nfh.ind.past.conv.1per.pl
[bun]unlaymışsınızcasına PRON.demo.sg,case.instr,perf.nfh.ind.past.conv.2per.pl
[bun]unlaymışlarcasına PRON.demo.sg,case.instr,perf.nfh.ind.past.conv.3per.pl
[bun]unlalarmışçasına PRON.demo.sg,case.instr,perf.nfh.ind.past.conv.3per.pl
[bun]unkiymişimcesine PRON.demo.sg,case.gen,<ki>,num.sg,case.nom,perf.nfh.ind.past.conv.1per.sg
[bun]unkiymişsincesine PRON.demo.sg,case.gen,<ki>,num.sg,case.nom,perf.nfh.ind.past.conv.2per.sg
[bun]unkiymişçesine PRON.demo.sg,case.gen,<ki>,num.sg,case.nom,perf.nfh.ind.past.conv.3per.sg
[bun]unkiymişizcesine PRON.demo.sg,case.gen,<ki>,num.sg,case.nom,perf.nfh.ind.past.conv.1per.pl
[bun]unkiymişsinizcesine PRON.demo.sg,case.gen,<ki>,num.sg,case.nom,perf.nfh.ind.past.conv.2per.pl
[bun]unkiymişlercesine PRON.demo.sg,case.gen,<ki>,num.sg,case.nom,perf.nfh.ind.past.conv.3per.pl
[bun]unkilermişçesine PRON.demo.sg,case.gen,<ki>,num.sg,case.nom,perf.nfh.ind.past.conv.3per.pl
[bun]unkilermişimcesine PRON.demo.sg,case.gen,<ki>,num.pl,case.nom,perf.nfh.ind.past.conv.1per.sg
[bun]unkilermişsincesine PRON.demo.sg,case.gen,<ki>,num.pl,case.nom,perf.nfh.ind.past.conv.2per.sg
[bun]unkilermişçesine PRON.demo.sg,case.gen,<ki>,num.pl,case.nom,perf.nfh.ind.past.conv.3per.sg
[bun]unkilermişizcesine PRON.demo.sg,case.gen,<ki>,num.pl,case.nom,perf.nfh.ind.past.conv.1per.pl
[bun]unkilermişsinizcesine PRON.demo.sg,case.gen,<ki>,num.pl,case.nom,perf.nfh.ind.past.conv.2per.pl
[bun]unkilermişlercesine PRON.demo.sg,case.gen,<ki>,num.pl,case.nom,perf.nfh.ind.past.conv.3per.pl
[bun]daymışımcasına PRON.demo.sg,num.sg,case.loc,perf.nfh.ind.past.conv.1per.sg
[bun]daymışsıncasına PRON.demo.sg,num.sg,case.loc,perf.nfh.ind.past.conv.2per.sg
[bun]daymışçasına PRON.demo.sg,num.sg,perf.nfh.ind.past.conv.3per.sg
[bun]daymışızcasına PRON.demo.sg,num.sg,perf.nfh.ind.past.conv.1per.pl
[bun]daymışsınızcasına PRON.demo.sg,num.sg,perf.nfh.ind.past.conv.2per.pl
[bun]daymışlarcasına PRON.demo.sg,num.sg,perf.nfh.ind.past.conv.3per.pl
[bun]dalarmışçasına PRON.demo.sg,num.sg,perf.nfh.ind.past.conv.3per.pl
[bun]dalarmışımcasına PRON.demo.sg,case.loc,perf.ind.pres.3per.pl,perf.nfh.ind.past.conv.1per.sg
[bun]dalarmışsıncasına PRON.demo.sg,case.loc,perf.ind.pres.3per.pl,perf.nfh.ind.past.conv.2per.sg
[bun]dalarmışçasına PRON.demo.sg,case.loc,perf.ind.pres.3per.pl,perf.nfh.ind.past.conv.3per.sg
[bun]dalarmışızcasına PRON.demo.sg,case.loc,perf.ind.pres.3per.pl,perf.nfh.ind.past.conv.1per.pl
[bun]dalarmışsınızcasına PRON.demo.sg,case.loc,perf.ind.pres.3per.pl,perf.nfh.ind.past.conv.2per.pl
[bun]dalarmışlarcasına PRON.demo.sg,case.loc,perf.ind.pres.3per.pl,perf.nfh.ind.past.conv.3per.pl
[bun]dalarmışçasına PRON.demo.sg,case.loc,perf.ind.pres.3per.pl,perf.nfh.ind.past.conv.3per.pl
[bun]dakiymişimcesine PRON.demo.sg,case.loc,<ki>,perf.nfh.ind.past.conv.1per.sg
[bun]dakiymişsincesine PRON.demo.sg,case.loc,<ki>,perf.nfh.ind.past.conv.2per.sg
[bun]dakiymişçesine PRON.demo.sg,case.loc,<ki>,perf.nfh.ind.past.conv.3per.sg
[bun]dakiymişizcesine PRON.demo.sg,case.loc,<ki>,perf.nfh.ind.past.conv.1per.pl
[bun]dakiymişsinizcesine PRON.demo.sg,case.loc,<ki>,perf.nfh.ind.past.conv.2per.pl
[bun]dakiymişlercesine PRON.demo.sg,case.loc,<ki>,perf.nfh.ind.past.conv.3per.pl
[bun]dakilermişçesine PRON.demo.sg,case.loc,<ki>,perf.nfh.ind.past.conv.3per.pl
[bun]dakineymişçesine PRON.demo.sg,case.loc,<ki>,case.dat,perf.nfh.ind.past.conv.3per.sg
[bun]dakindeymişçesine PRON.demo.sg,case.loc,<ki>,case.loc,perf.nfh.ind.past.conv.3per.sg
[bun]dakindenmişimcesine PRON.demo.sg,case.loc,<ki>,case.ab,perf.nfh.ind.past.conv.1per.sg
[bun]dakindenmişsincesine PRON.demo.sg,case.loc,<ki>,case.ab,perf.nfh.ind.past.conv.2per.sg
[bun]dakindenmişçesine PRON.demo.sg,case.loc,<ki>,case.ab,perf.nfh.ind.past.conv.3per.sg
[bun]dakindenmişizcesine PRON.demo.sg,case.loc,<ki>,case.ab,perf.nfh.ind.past.conv.1per.pl
[bun]dakindenmişsinizcesine PRON.demo.sg,case.loc,<ki>,case.ab,perf.nfh.ind.past.conv.2per.pl
[bun]dakindenmişlercesine PRON.demo.sg,case.loc,<ki>,case.ab,perf.nfh.ind.past.conv.3per.pl
[bun]dakilerinmişimcesine PRON.demo.sg,case.loc,<ki>,num.pl,case.gen,case.ab,perf.nfh.ind.past.conv.1per.sg
[bun]dakilerinmişsincesine PRON.demo.sg,case.loc,<ki>,num.pl,case.gen,case.ab,perf.nfh.ind.past.conv.2per.sg
[bun]dakilerinmişçesine PRON.demo.sg,case.loc,<ki>,num.pl,case.gen,case.ab,perf.nfh.ind.past.conv.3per.sg
[bun]dakilerinmişizcesine PRON.demo.sg,case.loc,<ki>,num.pl,case.gen,case.ab,perf.nfh.ind.past.conv.1per.pl
[bun]dakilerinmişsinizcesine PRON.demo.sg,case.loc,<ki>,num.pl,case.gen,case.ab,perf.nfh.ind.past.conv.2per.pl
[bun]dakilerinmişlercesine PRON.demo.sg,case.loc,<ki>,num.pl,case.gen,case.ab,perf.nfh.ind.past.conv.3per.pl
[bun]dakilerinkiymişimcesine PRON.demo.sg,case.loc,<ki>,num.pl,case.gen,<ki>,perf.nfh.ind.past.conv.1per.sg
[bun]dakilerinkiymişsincesine PRON.demo.sg,case.loc,<ki>,num.pl,case.gen,<ki>,perf.nfh.ind.past.conv.2per.sg
[bun]dakilerinkiymişçesine PRON.demo.sg,case.loc,<ki>,num.pl,case.gen,<ki>,perf.nfh.ind.past.conv.3per.sg
[bun]dakilerinkiymişizcesine PRON.demo.sg,case.loc,<ki>,num.pl,case.gen,<ki>,perf.nfh.ind.past.conv.1per.pl
[bun]dakilerinkiymişsinizcesine PRON.demo.sg,case.loc,<ki>,num.pl,case.gen,<ki>,perf.nfh.ind.past.conv.2per.pl
[bun]dakilerinkiymişlercesine PRON.demo.sg,case.loc,<ki>,num.pl,case.gen,<ki>,perf.nfh.ind.past.conv.3per.pl
[bun]dakilerdeymişimcesine PRON.demo.sg,case.loc,<ki>,num.pl,case.loc,perf.nfh.ind.past.conv.1per.sg
[bun]dakilerdeymişsincesine PRON.demo.sg,case.loc,<ki>,num.pl,case.loc,perf.nfh.ind.past.conv.2per.sg
[bun]dakilerdeymişçesine PRON.demo.sg,case.loc,<ki>,num.pl,case.loc,perf.nfh.ind.past.conv.3per.sg
[bun]dakilerdeymişizcesine PRON.demo.sg,case.loc,<ki>,num.pl,case.loc,perf.nfh.ind.past.conv.1per.pl
[bun]dakilerdeymişsinizcesine PRON.demo.sg,case.loc,<ki>,num.pl,case.loc,perf.nfh.ind.past.conv.2per.pl
[bun]dakilerdeymişlercesine PRON.demo.sg,case.loc,<ki>,num.pl,case.loc,perf.nfh.ind.past.conv.3per.pl
[bun]dakilerdenmişimcesine PRON.demo.sg,case.loc,<ki>,num.pl,case.abl,perf.nfh.ind.past.conv.1per.sg
[bun]dakilerdenmişsincesine PRON.demo.sg,case.loc,<ki>,num.pl,case.abl,perf.nfh.ind.past.conv.2per.sg
[bun]dakilerdenmişçesine PRON.demo.sg,case.loc,<ki>,num.pl,case.abl,perf.nfh.ind.past.conv.3per.sg
[bun]dakilerdeymişizcesine PRON.demo.sg,case.loc,<ki>,num.pl,case.abl,perf.nfh.ind.past.conv.1per.pl
[bun]dakilerdeymişsinizcesine PRON.demo.sg,case.loc,<ki>,num.pl,case.abl,perf.nfh.ind.past.conv.2per.pl
[bun]dakilerdeymişlercesine PRON.demo.sg,case.loc,<ki>,num.pl,case.abl,perf.nfh.ind.past.conv.3per.pl
[bun]dakilerleymişimcesine PRON.demo.sg,case.loc,<ki>,num.pl,case.instr,perf.nfh.ind.past.conv.1per.sg
[bun]dakilerleymişsincesine PRON.demo.sg,case.loc,<ki>,num.pl,case.instr,perf.nfh.ind.past.conv.2per.sg
[bun]dakilerleymişçesine PRON.demo.sg,case.loc,<ki>,num.pl,case.instr,perf.nfh.ind.past.conv.3per.sg
[bun]dakilerleymişizcesine PRON.demo.sg,case.loc,<ki>,num.pl,case.instr,perf.nfh.ind.past.conv.1per.pl
[bun]dakilerleymişsinizcesine PRON.demo.sg,case.loc,<ki>,num.pl,case.instr,perf.nfh.ind.past.conv.2per.pl
[bun]dakilerleymişlercesine PRON.demo.sg,case.loc,<ki>,num.pl,case.instr,perf.nfh.ind.past.conv.3per.pl
[bun]unkilerdeymişimcesine PRON.demo.sg,case.gen,<ki>,num.pl,case.loc,perf.nfh.ind.past.conv.1per.sg
[bun]unkilerdeymişsincesine PRON.demo.sg,case.gen,<ki>,num.pl,case.loc,perf.nfh.ind.past.conv.2per.sg
